DATE,TIME,Member ID,Order Number,Change Amount,Balance After Change
Fri, 02 Jan 2026,19:59:56,3040920064,THRP176739474227149500,20,20.26
Fri, 02 Jan 2026,19:59:34,3808485852,THRP176739468581668753,120,120.04
Fri, 02 Jan 2026,19:59:32,3480835613,THRP176739472743150699,150,153.02
Fri, 02 Jan 2026,19:59:32,3676581089,THRP176739475056610187,50,50.03
Fri, 02 Jan 2026,19:59:28,3589709879,THRP176739474626850464,18,18.31
Fri, 02 Jan 2026,19:59:12,3666892115,THRP176739472182514453,35,35.09
Fri, 02 Jan 2026,19:58:57,3238993725,THRP176739470681752138,18,18.25
Fri, 02 Jan 2026,19:58:39,3921215982,THRP176739466114419258,20,20.21
Fri, 02 Jan 2026,19:58:26,3550916310,THRP176739464944983636,1000,1000.33
